Term,Total_TF,DF,IDF,Max_TFIDF
still,27,23,4.1087,0.1442
freedom,27,22,4.1532,0.1483
henc,27,25,4.0254,0.1519
littl,27,26,3.9861,0.0664
trend,27,25,4.0254,0.0694
photograph,26,21,4.1997,0.1135
propag,26,17,4.411,0.1853
histori,26,23,4.1087,0.0839
navier,26,19,4.2998,0.1954
slot,26,13,4.6793,0.234
rear,26,19,4.2998,0.1168
aeroelast,26,18,4.3539,0.1765
schlieren,26,24,4.0662,0.0808
princip,26,24,4.0662,0.1768
smaller,26,25,4.0254,0.0856
duct,26,13,4.6793,0.3982
aileron,26,9,5.047,0.3194
better,26,23,4.1087,0.0978
check,26,24,4.0662,0.1099
probabl,25,23,4.1087,0.0721
corridor,25,5,5.6348,0.2578
situat,25,22,4.1532,0.1222
bound,25,16,4.4716,0.1698
seem,25,21,4.1997,0.1273
common,25,24,4.0662,0.1312
freon,25,7,5.2983,0.4076
minim,25,20,4.2485,0.1036
inclin,25,15,4.5362,0.189
decay,25,17,4.411,0.2262
electron,25,19,4.2998,0.1284
figur,25,22,4.1532,0.1318
cruciform,25,8,5.1648,0.2564
adiabat,25,21,4.1997,0.15
flux,25,17,4.411,0.2251
alloy,25,18,4.3539,0.1719
quantit,25,22,4.1532,0.0903
chosen,25,23,4.1087,0.1245
anoth,24,24,4.0662,0.1196
varieti,24,22,4.1532,0.1038
maintain,24,22,4.1532,0.0966
standard,24,21,4.1997,0.1826
run,24,15,4.5362,0.2268
phase,24,20,4.2485,0.1237
character,24,20,4.2485,0.0867
molecular,24,16,4.4716,0.1626
flexur,24,12,4.7593,0.3757
modulus,24,14,4.6052,0.5117
ogiv,24,14,4.6052,0.2709
obliqu,24,17,4.411,0.1575
vtol,24,13,4.6793,0.2463
blast,24,15,4.5362,0.2231
digit,24,20,4.2485,0.1808
outlin,24,22,4.1532,0.1806
horizont,24,15,4.5362,0.1644
reattach,24,14,4.6052,0.2424
frozen,24,13,4.6793,0.2034
strip,23,14,4.6052,0.2512
believ,23,20,4.2485,0.0885
somewhat,23,23,4.1087,0.0874
specifi,23,20,4.2485,0.1004
matrix,23,10,4.9416,0.2657
distort,23,20,4.2485,0.118
rotor,23,11,4.8463,0.4081
similitud,23,9,5.047,0.3028
band,23,11,4.8463,0.2596
dissip,23,19,4.2998,0.1255
membran,23,10,4.9416,0.4845
appendix,23,18,4.3539,0.135
subsequ,23,22,4.1532,0.0814
vanish,23,18,4.3539,0.1079
alway,23,20,4.2485,0.0966
nondimension,23,20,4.2485,0.078
coolant,23,15,4.5362,0.1745
alter,23,23,4.1087,0.0874
earlier,23,22,4.1532,0.1767
impos,23,17,4.411,0.1575
sinusoid,23,16,4.4716,0.2333
nonuniform,23,18,4.3539,0.1829
shield,23,4,5.8579,0.3159
almost,22,22,4.1532,0.1298
expand,22,20,4.2485,0.1
eccentr,22,10,4.9416,0.3468
spread,22,16,4.4716,0.1032
toward,22,21,4.1997,0.07
advanc,22,19,4.2998,0.1686
singular,22,14,4.6052,0.2024
impact,22,18,4.3539,0.4354
aid,22,21,4.1997,0.1312
consequ,22,22,4.1532,0.1065
hydrostat,22,13,4.6793,0.2463
depth,22,9,5.047,0.1883
atom,22,16,4.4716,0.1597
perige,22,10,4.9416,0.335
select,22,21,4.1997,0.1235
difficulti,22,21,4.1997,0.1355
open,22,19,4.2998,0.1483
inner,22,17,4.411,0.1103
round,22,15,4.5362,0.2268
solar,22,6,5.4525,0.2299
polar,21,12,4.7593,0.1879
exhibit,21,19,4.2998,0.1344
charg,21,13,4.6793,0.2649
wherea,21,20,4.2485,0.0664
divid,21,21,4.1997,0.0875
deduc,21,20,4.2485,0.1036
lattic,21,3,6.1456,0.6957
crocco,21,16,4.4716,0.1771
capac,21,12,4.7593,0.3016
orthotrop,21,12,4.7593,0.3661
trajectori,21,15,4.5362,0.1814
question,21,21,4.1997,0.1448
enough,21,18,4.3539,0.1742
introduct,21,21,4.1997,0.0857
like,21,20,4.2485,0.0885
pass,21,20,4.2485,0.137
contact,21,12,4.7593,0.1535
rest,21,18,4.3539,0.2177
wire,21,20,4.2485,0.0944
record,21,19,4.2998,0.1344
neutral,21,15,4.5362,0.1055
whole,21,20,4.2485,0.1089
cold,21,14,4.6052,0.2002
entropi,21,14,4.6052,0.1535
disk,21,14,4.6052,0.2558
secondari,21,16,4.4716,0.1442
forebodi,21,8,5.1648,0.3038
rae,21,15,4.5362,0.1635
hole,21,8,5.1648,0.3228
taylor,21,16,4.4716,0.1147
hand,21,19,4.2998,0.1162
attribut,21,20,4.2485,0.072
smoke,21,3,6.1456,0.4457
rule,21,16,4.4716,0.2439
adequ,21,20,4.2485,0.0759
alon,20,16,4.4716,0.1597
zone,20,13,4.6793,0.27
especi,20,20,4.2485,0.1328
criteria,20,13,4.6793,0.1991
transpir,20,13,4.6793,0.2228
clear,20,19,4.2998,0.1344
linearis,20,15,4.5362,0.3058
inlet,20,14,4.6052,0.1354
sudden,20,17,4.411,0.1161
back,20,18,4.3539,0.0854
sweepback,20,10,4.9416,0.3013
match,20,15,4.5362,0.216
movement,20,14,4.6052,0.1059
often,20,16,4.4716,0.126
life,20,14,4.6052,0.3213
cascad,20,9,5.047,0.3657
exponenti,20,16,4.4716,0.0962
perpendicular,20,15,4.5362,0.1226
graviti,20,14,4.6052,0.1974
charact,20,20,4.2485,0.1634
fourteen,20,18,4.3539,0.0889
call,20,18,4.3539,0.1281
discrep,20,16,4.4716,0.1028
thirteen,20,19,4.2998,0.0966
systemat,20,16,4.4716,0.1278
cycl,20,13,4.6793,0.4011
ident,20,18,4.3539,0.1501
fourth,20,18,4.3539,0.3038
dimensionless,20,18,4.3539,0.1013
polynomi,20,14,4.6052,0.2523
name,20,18,4.3539,0.0573
fli,19,16,4.4716,0.1278
proper,19,17,4.411,0.1634
collaps,19,10,4.9416,0.2471
eddi,19,11,4.8463,0.1882
isentrop,19,13,4.6793,0.1265
metal,19,13,4.6793,0.1462
twist,19,12,4.7593,0.28
modul,19,5,5.6348,0.3968
aeronaut,19,16,4.4716,0.2264
balanc,19,16,4.4716,0.0913
conjunct,19,19,4.2998,0.1194
herein,19,18,4.3539,0.067
might,19,15,4.5362,0.0732
arc,19,16,4.4716,0.1789
nomin,19,17,4.411,0.1337
fail,19,16,4.4716,0.1597
immedi,19,18,4.3539,0.0596
shroud,19,11,4.8463,0.2937
circul,19,13,4.6793,0.1052
fraction,19,19,4.2998,0.0768
arrang,19,12,4.7593,0.137
progress,19,17,4.411,0.1003
recombin,19,12,4.7593,0.17
oseen,19,10,4.9416,0.4706
year,18,17,4.411,0.0761
graphic,18,18,4.3539,0.1675
throat,18,13,4.6793,0.2808
rayleigh,18,17,4.411,0.1357
lighthil,18,14,4.6052,0.2002
damag,18,9,5.047,0.3882
enabl,18,16,4.4716,0.1161
prevent,18,14,4.6052,0.1396
fourier,18,16,4.4716,0.0913
mention,18,18,4.3539,0.1037
refin,18,15,4.5362,0.189
hydrodynam,18,17,4.411,0.0939
sweptback,18,15,4.5362,0.1852
isotrop,18,11,4.8463,0.1939
calibr,18,12,4.7593,0.2069
simpler,18,17,4.411,0.1337
altern,18,17,4.411,0.2595
apparatus,18,12,4.7593,0.224
aluminum,18,16,4.4716,0.1118
simplif,18,17,4.411,0.2052
feet,18,10,4.9416,0.1392
understand,18,17,4.411,0.2005
gave,18,15,4.5362,0.2213
elimin,18,17,4.411,0.0865
opposit,18,16,4.4716,0.09
ordin,18,14,4.6052,0.188
pair,17,11,4.8463,0.1042
guid,17,17,4.411,0.1003
couett,17,10,4.9416,0.353
idea,17,17,4.411,0.1423
choic,17,17,4.411,0.0832
sideslip,17,9,5.047,0.2611
lee,17,10,4.9416,0.1675
interior,17,13,4.6793,0.0851
accept,17,17,4.411,0.1192
summari,17,15,4.5362,0.1972
primarili,17,17,4.411,0.1378
reciproc,17,9,5.047,0.232
primari,17,13,4.6793,0.0678
vessel,17,8,5.1648,0.1688
instrument,17,12,4.7593,0.2069
isotherm,17,12,4.7593,0.14
furthermor,17,16,4.4716,0.0733
verifi,17,16,4.4716,0.1147
ambient,17,15,4.5362,0.0872
flame,17,6,5.4525,0.2337
harmon,17,15,4.5362,0.1067
though,17,16,4.4716,0.0577
infin,17,17,4.411,0.0788
vector,17,12,4.7593,0.1613
yet,17,16,4.4716,0.1397
famili,17,15,4.5362,0.1296
choke,17,11,4.8463,0.2851
self,17,15,4.5362,0.1226
annular,17,11,4.8463,0.2423
reentri,16,9,5.047,0.2019
best,16,16,4.4716,0.0771
sensit,16,16,4.4716,0.172
spring,16,6,5.4525,0.4771
kernel,16,6,5.4525,0.3804
represent,16,15,4.5362,0.1106
constraint,16,11,4.8463,0.2769
freestream,16,10,4.9416,0.2513
etc,16,15,4.5362,0.0756
lie,16,15,4.5362,0.1163
specimen,16,10,4.9416,0.1704
mark,16,16,4.4716,0.0745
row,16,12,4.7593,0.1029
action,16,10,4.9416,0.1225
automat,16,12,4.7593,0.242
summar,16,16,4.4716,0.1442
inelast,16,10,4.9416,0.1439
hover,16,10,4.9416,0.2149
artifici,16,13,4.6793,0.0604
difficult,16,16,4.4716,0.0733
begin,16,14,4.6052,0.0837
easili,16,16,4.4716,0.1397
travel,16,15,4.5362,0.0965
undisturb,16,12,4.7593,0.156
confirm,16,16,4.4716,0.1016
gasdynam,16,10,4.9416,0.1336
definit,16,16,4.4716,0.1397
unswept,16,13,4.6793,0.1155
futur,16,15,4.5362,0.1814
prove,16,16,4.4716,0.1118
central,16,14,4.6052,0.1588
equip,16,16,4.4716,0.0951
drawn,16,15,4.5362,0.2835
minor,16,15,4.5362,0.1055
million,15,8,5.1648,0.1659
centr,15,13,4.6793,0.1418
multipl,15,15,4.5362,0.1055
orific,15,8,5.1648,0.1677
drop,15,12,4.7593,0.078
activ,15,12,4.7593,0.1535
hydrogen,15,9,5.047,0.2804
oil,15,8,5.1648,0.2582
excel,15,15,4.5362,0.1334
theorem,15,9,5.047,0.4206
emphas,15,15,4.5362,0.1194
spectrum,15,14,4.6052,0.1262
assess,15,14,4.6052,0.2142
sampl,15,13,4.6793,0.2529
written,15,14,4.6052,0.1439
done,15,14,4.6052,0.1396
semiempir,15,12,4.7593,0.1236
format,15,12,4.7593,0.112
arriv,15,8,5.1648,0.098
readili,15,14,4.6052,0.1151
pipe,14,8,5.1648,0.1937
tollmien,14,7,5.2983,0.2362
galerkin,14,8,5.1648,0.1781
expos,14,11,4.8463,0.2423
hing,14,8,5.1648,0.1076
teflon,14,7,5.2983,0.1786
merg,14,4,5.8579,0.155
van,14,11,4.8463,0.2154
segment,14,13,4.6793,0.1088
extrapol,14,12,4.7593,0.0952
facil,14,14,4.6052,0.1842
planetari,14,7,5.2983,0.2585
sting,14,6,5.4525,0.1543
chapman,14,12,4.7593,0.1304
sublay,14,10,4.9416,0.2246
group,14,10,4.9416,0.2149
nacell,14,4,5.8579,0.3466
freez,14,6,5.4525,0.1924
cours,14,14,4.6052,0.094
hoop,14,3,6.1456,0.4656
pictur,14,13,4.6793,0.06
role,14,13,4.6793,0.0731
fivezero,14,10,4.9416,0.1422
argon,14,9,5.047,0.2804
excess,14,13,4.6793,0.1376
earli,14,14,4.6052,0.072
univers,14,12,4.7593,0.1133
sink,14,10,4.9416,0.1289
trim,14,8,5.1648,0.1781
diminish,14,14,4.6052,0.0755
scope,14,14,4.6052,0.0485
hyperbol,14,11,4.8463,0.102
foreign,14,9,5.047,0.1442
ignit,14,4,5.8579,0.2
reveal,13,13,4.6793,0.09
interv,13,12,4.7593,0.1322
distinct,13,11,4.8463,0.0865
onset,13,12,4.7593,0.156
oxygen,13,12,4.7593,0.2644
land,13,8,5.1648,0.1781
environ,13,9,5.047,0.1646
fuel,13,9,5.047,0.2462
centrifug,13,10,4.9416,0.104
reliabl,13,12,4.7593,0.0924
care,13,12,4.7593,0.1013
vane,13,6,5.4525,0.2796
sixteen,13,12,4.7593,0.1613
oval,13,5,5.6348,0.1966
optic,13,10,4.9416,0.1569
ion,13,8,5.1648,0.3083
experienc,13,12,4.7593,0.1304
accompani,13,13,4.6793,0.055
conveni,13,12,4.7593,0.1487
emphasi,13,13,4.6793,0.1114
literatur,13,12,4.7593,0.0933
absolut,13,11,4.8463,0.1077
joint,13,9,5.047,0.1711
necessarili,13,13,4.6793,0.0975
cruis,13,7,5.2983,0.1341
hold,13,13,4.6793,0.1088
lowest,13,9,5.047,0.1668
intersect,13,11,4.8463,0.079
whether,13,12,4.7593,0.1013
blockag,13,8,5.1648,0.2152
cowl,13,2,6.5511,0.4416
indici,13,5,5.6348,0.2538
bear,13,12,4.7593,0.2441
fall,13,12,4.7593,0.069
spinner,13,1,7.2442,0.5291
continuum,13,11,4.8463,0.1615
remark,13,13,4.6793,0.1088
highest,13,12,4.7593,0.0933
imping,13,9,5.047,0.1328
suppli,13,10,4.9416,0.2534
bluff,13,10,4.9416,0.1497
slowli,13,13,4.6793,0.1231
held,13,13,4.6793,0.0688
discret,13,8,5.1648,0.1684
reservoir,13,6,5.4525,0.3001
releas,13,6,5.4525,0.3207
surround,13,12,4.7593,0.1586
analogu,13,6,5.4525,0.5072
junction,13,11,4.8463,0.3029
domin,12,9,5.047,0.0885
deg,12,7,5.2983,0.1987
tab,12,4,5.8579,0.2232
proceed,12,10,4.9416,0.1865
plasma,12,8,5.1648,0.3603
intend,12,12,4.7593,0.1641
magneto,12,5,5.6348,0.1795
glass,12,5,5.6348,0.221
sens,12,12,4.7593,0.071
algebra,12,11,4.8463,0.0873
incorpor,12,11,4.8463,0.1514
interfac,12,9,5.047,0.2019
graph,12,10,4.9416,0.1528
former,12,12,4.7593,0.1082
conform,12,11,4.8463,0.1243
map,12,11,4.8463,0.1089
virtual,12,8,5.1648,0.1359
greatest,12,10,4.9416,0.3089
dash,12,10,4.9416,0.1098
owe,12,12,4.7593,0.0933
discharg,12,7,5.2983,0.3382
travers,12,11,4.8463,0.2203
adjust,12,11,4.8463,0.1275
technic,12,12,4.7593,0.0915
durat,12,9,5.047,0.1577
rigor,12,10,4.9416,0.2411
read,12,9,5.047,0.1364
web,12,6,5.4525,0.3786
rarefi,12,9,5.047,0.174
radii,12,12,4.7593,0.1252
restraint,12,8,5.1648,0.313
complic,12,12,4.7593,0.1535
pertin,12,10,4.9416,0.1235
other,12,11,4.8463,0.2154
capabl,12,12,4.7593,0.067
cap,12,8,5.1648,0.2582
middl,12,9,5.047,0.1328
simplic,12,12,4.7593,0.1322
right,12,8,5.1648,0.2519
instanc,12,11,4.8463,0.0788
put,12,12,4.7593,0.1442
expon,12,10,4.9416,0.1594
emiss,12,9,5.047,0.098
uniqu,12,10,4.9416,0.0634
accomplish,12,11,4.8463,0.0914
generalis,12,9,5.047,0.206
hypothesi,12,8,5.1648,0.1565
input,12,10,4.9416,0.1765
hub,12,7,5.2983,0.2944
feasibl,12,12,4.7593,0.119
shall,12,9,5.047,0.2611
seen,12,10,4.9416,0.1008
serv,12,11,4.8463,0.131
play,12,12,4.7593,0.1013
compos,12,12,4.7593,0.119
member,12,8,5.1648,0.1281
penetr,12,11,4.8463,0.1168
comment,11,11,4.8463,0.3029
convex,11,7,5.2983,0.0975
jump,11,7,5.2983,0.1656
tension,11,8,5.1648,0.2198
hyperveloc,11,8,5.1648,0.2792
axe,11,10,4.9416,0.1149
scheme,11,9,5.047,0.1051
isol,11,10,4.9416,0.0979
programm,11,7,5.2983,0.4076
deton,11,2,6.5511,0.7179
ad,11,11,4.8463,0.1864
truncat,11,8,5.1648,0.2279
nation,11,10,4.9416,0.1336
handl,11,9,5.047,0.0952
swirl,11,2,6.5511,0.5697
satisfactorili,11,11,4.8463,0.0746
collect,11,10,4.9416,0.2103
ioniz,11,8,5.1648,0.2951
explos,11,4,5.8579,0.1814
turbojet,11,8,5.1648,0.1614
statist,11,9,5.047,0.0789
eros,11,5,5.6348,0.2328
stand,11,10,4.9416,0.0677
articl,11,7,5.2983,0.1211
semivertex,11,8,5.1648,0.1741
blow,11,8,5.1648,0.1949
infinitesim,11,11,4.8463,0.1243
realiz,11,8,5.1648,0.0906
otherwis,11,11,4.8463,0.1385
serious,11,10,4.9416,0.0988
framework,11,11,4.8463,0.0914
wider,11,11,4.8463,0.1243
glide,11,6,5.4525,0.1731
predomin,11,10,4.9416,0.0838
matric,11,7,5.2983,0.3785
obstacl,11,5,5.6348,0.2683
trip,11,5,5.6348,0.245
schlicht,11,4,5.8579,0.2612
attain,11,10,4.9416,0.1251
say,11,11,4.8463,0.0606
vapor,11,6,5.4525,0.1778
unifi,11,10,4.9416,0.1938
passag,11,7,5.2983,0.1157
code,11,2,6.5511,0.3425
apex,11,9,5.047,0.1262
justifi,11,11,4.8463,0.0702
behav,11,10,4.9416,0.0575
ionize,11,9,5.047,0.1781
nonvisc,11,9,5.047,0.1835
crossflow,11,8,5.1648,0.1023
suppos,11,11,4.8463,0.0757
tool,11,10,4.9416,0.1098
diagram,11,10,4.9416,0.1544
eighteen,11,10,4.9416,0.1149
caviti,11,4,5.8579,0.1701
trace,11,11,4.8463,0.0969
unyaw,10,8,5.1648,0.1722
remov,10,10,4.9416,0.1098
falkner,10,8,5.1648,0.1148
disc,10,7,5.2983,0.1827
perfor,10,3,6.1456,0.1707
skan,10,8,5.1648,0.1148
melt,10,6,5.4525,0.4451
explan,10,9,5.047,0.1941
pivot,10,5,5.6348,0.3074
abl,10,9,5.047,0.099
aft,10,7,5.2983,0.0841
flang,10,6,5.4525,0.1604
contract,10,8,5.1648,0.1455
buffet,10,9,5.047,0.1278
steel,10,8,5.1648,0.0974
regular,10,7,5.2983,0.0855
split,10,4,5.8579,0.2343
fiftyzero,10,8,5.1648,0.1455
postbuckl,10,7,5.2983,0.1766
multipli,10,8,5.1648,0.189
doubt,10,10,4.9416,0.1704
minut,10,9,5.047,0.1294
true,10,10,4.9416,0.1205
kinemat,10,10,4.9416,0.0706
spectra,10,7,5.2983,0.1359
rearward,10,7,5.2983,0.1
contrast,10,10,4.9416,0.095
eigenvalu,10,6,5.4525,0.2124
gross,10,8,5.1648,0.1519
fan,10,5,5.6348,0.3757
keep,10,9,5.047,0.1262
logarithm,10,9,5.047,0.1188
proxim,10,8,5.1648,0.1476
away,10,10,4.9416,0.0677
termin,10,8,5.1648,0.0984
impuls,10,8,5.1648,0.2649
airflow,10,8,5.1648,0.0795
angular,10,6,5.4525,0.2077
routin,10,9,5.047,0.1262
lack,10,10,4.9416,0.0626
elementari,10,10,4.9416,0.1594
concav,10,7,5.2983,0.0975
windward,10,8,5.1648,0.0783
join,10,8,5.1648,0.1076
merit,10,10,4.9416,0.1647
binari,10,7,5.2983,0.1999
absenc,10,9,5.047,0.0841
everi,10,9,5.047,0.0821
maneuv,10,8,5.1648,0.1614
hundredzero,10,5,5.6348,0.1101
meridion,10,5,5.6348,0.1847
see,10,10,4.9416,0.0824
devis,10,10,4.9416,0.0749
identifi,10,10,4.9416,0.095
relev,10,8,5.1648,0.1291
attenu,10,6,5.4525,0.2097
arbitrarili,10,10,4.9416,0.1977
tentat,10,10,4.9416,0.0852
gap,10,7,5.2983,0.1536
ultim,10,10,4.9416,0.0838
biot,10,7,5.2983,0.1558
delay,10,9,5.047,0.0893
frame,10,8,5.1648,0.1565
speci,10,7,5.2983,0.1
toler,10,9,5.047,0.1009
asymmetr,10,7,5.2983,0.1827
pound,10,8,5.1648,0.2519
background,10,6,5.4525,0.2113
retard,10,7,5.2983,0.1859
slow,10,10,4.9416,0.048
tangenti,10,7,5.2983,0.106
convers,9,9,5.047,0.0801
tumbl,9,5,5.6348,0.3251
aerothermoelast,9,1,7.2442,0.4691
detect,9,8,5.1648,0.1589
wrinkl,9,3,6.1456,0.6025
entranc,9,4,5.8579,0.2929
individu,9,8,5.1648,0.1099
therebi,9,9,5.047,0.0753
absorb,9,9,5.047,0.0601
magnus,9,2,6.5511,0.3882
proof,9,5,5.6348,0.2652
dyke,9,8,5.1648,0.1614
lubric,9,2,6.5511,0.4367
reson,9,6,5.4525,0.1731
fill,9,7,5.2983,0.1092
led,9,9,5.047,0.1941
knudsen,9,4,5.8579,0.2858
airstream,9,9,5.047,0.1442
denot,9,7,5.2983,0.1673
planar,9,5,5.6348,0.1216
gun,9,4,5.8579,0.3586
lagrangian,9,7,5.2983,0.1766
fold,9,4,5.8579,0.217
convert,9,7,5.2983,0.1
net,9,9,5.047,0.1484
entrain,9,2,6.5511,0.3448
pertain,9,9,5.047,0.0814
effort,9,9,5.047,0.0814
bond,9,6,5.4525,0.2001
enclos,9,5,5.6348,0.0936
circl,9,7,5.2983,0.2038
instead,9,9,5.047,0.0814
torispher,9,3,6.1456,0.2015
loos,9,5,5.6348,0.1503
corrug,9,6,5.4525,0.2478
heavi,9,4,5.8579,0.2092
0degre,9,7,5.2983,0.1728
adapt,9,9,5.047,0.0731
top,9,8,5.1648,0.0906
planet,9,5,5.6348,0.3522
ellipsoid,9,7,5.2983,0.1407
unstabl,9,8,5.1648,0.1565
retain,9,9,5.047,0.1402
leav,9,9,5.047,0.0673
sum,9,8,5.1648,0.1291
nusselt,9,9,5.047,0.0742
lifetim,9,5,5.6348,0.3659
translat,9,7,5.2983,0.0791
verif,9,9,5.047,0.103
multi,9,7,5.2983,0.2585
rotate,9,7,5.2983,0.1336
guidanc,9,5,5.6348,0.2195
visual,9,8,5.1648,0.1324
instantan,9,8,5.1648,0.1781
seventeen,9,8,5.1648,0.0807
break,9,9,5.047,0.0655
orient,9,9,5.047,0.103
fit,9,9,5.047,0.1009
dead,9,7,5.2983,0.1606
sometim,9,9,5.047,0.0601
accommod,9,6,5.4525,0.1474
spin,9,6,5.4525,0.0732
climb,9,6,5.4525,0.3518
devic,9,9,5.047,0.1202
receiv,9,9,5.047,0.1682
poor,9,7,5.2983,0.1999
longer,9,8,5.1648,0.0922
tailplan,9,3,6.1456,0.2015
qualiti,9,9,5.047,0.1364
topic,9,9,5.047,0.1941
devot,9,9,5.047,0.1577
kind,9,7,5.2983,0.1419
protect,9,7,5.2983,0.1262
moreov,9,9,5.047,0.087
homogen,9,9,5.047,0.1941
promis,9,9,5.047,0.0515
exploratori,9,8,5.1648,0.1054
glauert,9,8,5.1648,0.2869
joukowski,9,6,5.4525,0.0951
carbon,9,8,5.1648,0.5739
attitud,9,5,5.6348,0.0786
branch,9,6,5.4525,0.1652
tsien,9,8,5.1648,0.1291
frustum,8,4,5.8579,0.4506
outboard,8,7,5.2983,0.093
spike,8,2,6.5511,0.3342
inadequ,8,8,5.1648,0.1174
outward,8,7,5.2983,0.0946
gain,8,7,5.2983,0.0746
ration,8,7,5.2983,0.0697
inertia,8,5,5.6348,0.0817
multistag,8,4,5.8579,0.0966
stewartson,8,6,5.4525,0.1363
man,8,7,5.2983,0.1081
absorpt,8,6,5.4525,0.1059
simplest,8,7,5.2983,0.2038
shadowgraph,8,8,5.1648,0.1396
gravel,8,3,6.1456,0.2458
nasa,8,8,5.1648,0.0671
heater,8,2,6.5511,0.3728
ionospher,8,6,5.4525,0.1494
gaseous,8,7,5.2983,0.1452
cyclic,8,5,5.6348,0.0909
upwash,8,5,5.6348,0.1182
envelop,8,6,5.4525,0.1971
help,8,8,5.1648,0.089
nonlift,8,7,5.2983,0.1081
writer,8,8,5.1648,0.0638
euler,8,8,5.1648,0.0906
screen,8,4,5.8579,0.2202
induct,8,5,5.6348,0.1734
irregular,8,8,5.1648,0.0939
destabil,8,8,5.1648,0.063
coincid,8,8,5.1648,0.063
inclus,8,8,5.1648,0.0671
penalti,8,6,5.4525,0.1268
domain,8,7,5.2983,0.106
stringer,8,7,5.2983,0.2255
anemomet,8,8,5.1648,0.2246
prior,8,8,5.1648,0.0906
emit,8,6,5.4525,0.0686
diatom,8,6,5.4525,0.1019
ibm,8,8,5.1648,0.0875
launch,8,7,5.2983,0.1656
institut,8,8,5.1648,0.0847
version,8,7,5.2983,0.2038
compromis,8,6,5.4525,0.1398
prepar,8,8,5.1648,0.1396
wherein,8,7,5.2983,0.1737
narrow,8,7,5.2983,0.2208
burn,8,6,5.4525,0.2097
quadratur,8,7,5.2983,0.1081
farther,8,6,5.4525,0.0742
wood,8,4,5.8579,0.1395
probe,8,5,5.6348,0.2683
wherebi,8,8,5.1648,0.1148
exert,8,7,5.2983,0.1827
frequent,8,8,5.1648,0.0875
fast,8,8,5.1648,0.0807
mile,8,6,5.4525,0.266
restrain,8,6,5.4525,0.2097
exchang,8,5,5.6348,0.1464
uniaxi,8,5,5.6348,0.115
insid,8,7,5.2983,0.1962
implic,8,8,5.1648,0.0906
grid,8,2,6.5511,0.4011
nineteen,8,8,5.1648,0.1033
driven,8,6,5.4525,0.0909
shift,8,8,5.1648,0.0807
extension,8,4,5.8579,0.2639
compris,8,7,5.2983,0.1081
motor,8,8,5.1648,0.0861
substitut,8,8,5.1648,0.0906
drive,8,4,5.8579,0.2362
technolog,8,8,5.1648,0.0749
bring,8,8,5.1648,0.1614
boattail,8,6,5.4525,0.0665
aim,8,8,5.1648,0.1324
disagr,7,7,5.2983,0.0679
under,7,7,5.2983,0.0946
45degre,7,4,5.8579,0.1085
theodorsen,7,3,6.1456,0.1891
hovercraft,7,2,6.5511,0.2933
dome,7,1,7.2442,0.2914
percentag,7,7,5.2983,0.0609
perhap,7,7,5.2983,0.0679
preced,7,7,5.2983,0.1127
rippl,7,2,6.5511,0.2749
splitter,7,1,7.2442,0.4334
descent,7,6,5.4525,0.1059
hay,7,5,5.6348,0.1966
constitut,7,6,5.4525,0.1029
film,7,6,5.4525,0.0865
day,7,7,5.2983,0.2208
preston,7,4,5.8579,0.382
last,7,7,5.2983,0.1019
allevi,7,7,5.2983,0.0779
dealt,7,7,5.2983,0.0841
jone,7,6,5.4525,0.1029
rubesin,7,7,5.2983,0.0841
resembl,7,6,5.4525,0.0613
kutta,7,6,5.4525,0.109
mangler,7,5,5.6348,0.1374
implicit,7,7,5.2983,0.1262
overexpand,7,5,5.6348,0.2316
maccol,7,4,5.8579,0.1172
wet,7,2,6.5511,0.1088
minimis,7,6,5.4525,0.1346
shed,7,4,5.8579,0.202
recommend,7,7,5.2983,0.1709
rankin,7,5,5.6348,0.1158
list,7,7,5.2983,0.2038
afterburn,7,4,5.8579,0.0915
brought,7,7,5.2983,0.1039
ferri,7,7,5.2983,0.0815
polygon,7,5,5.6348,0.1342
neighborhood,7,7,5.2983,0.0688
exterior,7,7,5.2983,0.0679
uncoupl,7,5,5.6348,0.0817
surg,7,4,5.8579,0.1674
tank,7,6,5.4525,0.0641
millisecond,7,5,5.6348,0.1326
driver,7,5,5.6348,0.1199
notch,7,3,6.1456,0.1336
output,7,6,5.4525,0.0535
prefer,7,6,5.4525,0.1604
store,7,5,5.6348,0.1342
cancel,7,2,6.5511,0.2638
mainstream,7,5,5.6348,0.1025
suscept,7,7,5.2983,0.0697
unaffect,7,7,5.2983,0.0963
felt,7,7,5.2983,0.1606
among,7,7,5.2983,0.2119
everywher,7,6,5.4525,0.116
gyroscop,7,1,7.2442,0.315
incipi,7,3,6.1456,0.096
event,7,3,6.1456,0.16
occurr,7,6,5.4525,0.109
margin,7,5,5.6348,0.0794
thought,7,6,5.4525,0.1113
glider,7,5,5.6348,0.1127
sub,7,6,5.4525,0.0991
react,7,6,5.4525,0.1136
10degre,7,5,5.6348,0.1374
busemann,7,6,5.4525,0.0894
adopt,7,7,5.2983,0.0981
compat,7,6,5.4525,0.101
obvious,7,7,5.2983,0.0963
nonconduct,7,7,5.2983,0.1127
toroid,7,5,5.6348,0.3046
superior,7,6,5.4525,0.0757
eighth,7,6,5.4525,0.1298
plant,7,4,5.8579,0.1775
modern,7,7,5.2983,0.1359
condens,7,6,5.4525,0.1604
calculus,7,7,5.2983,0.1472
btu,7,5,5.6348,0.1761
meyer,7,7,5.2983,0.0631
